id, topics,components,pr_number
8500,None,Criminal Division; ,12-415; 
8501,None,Civil Rights Division; ,12-414; 
8502,None,Civil Rights Division; ,12-412; 
8503,None,Criminal Division; ,12-411; 
8504,None,Criminal Division; ,12-409; 
8505,None,Civil Rights Division; ,12-409; 
8506,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-407; 
8507,None,Office of the Attorney General; ,12-408; 
8508,None,National Security Division (NSD); ,12-406; 
8509,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-404; 
8510,None,Criminal Division; ,12-403; 
8511,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-396; 
8512,None,Criminal Division; ,12-402; 
8513,None,Tax Division; ,12-401; 
8514,None,Tax Division; ,12-400; 
8515,None,Tax Division; ,12-398; 
8516,None,Tax Division; ,12-397; 
8517,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-394; 
8518,None,Tax Division; ,12-393; 
8519,None,Civil Rights Division; ,12-392; 
8520,None,Environment and Natural Resources Division; ,12-390; 
8521,None,Civil Division; ,12-391; 
8522,None,Criminal Division; ,12-386; 
8523,None,Civil Division; ,12-389; 
8524,None,Tax Division; ,12-388; 
8525,None,Tax Division; ,12-387; 
8526,None,Antitrust Division; ,12-385; 
8527,None,Civil Rights Division; ,12-384; 
8528,None,Criminal Division; ,12-383; 
8529,None,Tax Division; ,12-382; 
8530,None,Tax Division; ,12-381; 
8531,None,Criminal Division; ,12-380; 
8532,None,Environment and Natural Resources Division; ,12-378; 
8533,StopFraud; ,Antitrust Division; ,12-379; 
8534,None,Antitrust Division; ,12-377; 
8535,None,Tax Division; ,12-376; 
8536,None,Office of the Attorney General; ,12-375; 
8537,None,Antitrust Division; ,12-374; 
8538,None,Criminal Division; ,12-373; 
8539,None,Criminal Division; ,12-372; 
8540,None,Civil Rights Division; ,12-371; 
8541,None,Criminal Division; ,12-370; 
8542,None,Civil Division; ,12-369; 
8543,None,Civil Division; ,12-368; 
8544,None,Civil Division; ,12-367; 
8545,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-366; 
8546,None,Criminal Division; ,12-365; 
8547,None,Criminal Division; ,12-364; 
8548,None,Civil Rights Division; ,12-363; 
8549,None,Criminal Division; ,12-362; 
8550,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-361; 
8551,None,Environment and Natural Resources Division; ,12-360; 
8552,None,Criminal Division; ,12-359; 
8553,None,Civil Division; ,12-357; 
8554,Project Safe Childhood; ,Criminal Division; ,12-354; 
8555,None,Criminal Division; ,12-355; 
8556,None,Criminal Division; ,12-353; 
8557,None,Civil Rights Division; ,12-352; 
8558,Indian Country Law and Justice; ,Environment and Natural Resources Division; ,12-350; 
8559,None,Office of Public Affairs; ,12-351; 
8560,None,National Security Division (NSD); ,12-348; 
8561,None,Tax Division; ,12-349; 
8562,StopFraud; ,Criminal Division; ,12-347; 
8563,None,Tax Division; ,12-346; 
8564,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-345; 
8565,None,Tax Division; ,12-344; 
8566,None,Criminal Division; ,12-343; 
8567,StopFraud; ,Criminal Division; ,12-342; 
8568,None,Civil Division; ,12-341; 
8569,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-340; 
8570,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-339; 
8571,None,Civil Rights Division; ,12-338; 
8572,None,Tax Division; ,12-337; 
8573,Project Safe Childhood; ,Criminal Division; ,12-336; 
8574,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-334; 
8575,None,Criminal Division; ,12-333; 
8576,None,Civil Rights Division; ,12-332; 
8577,None,Civil Rights Division; ,12-331; 
8578,None,Criminal Division; ,12-330; 
8579,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-328; 
8580,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-327; 
8581,None,Criminal Division; ,12-325; 
8582,None,Criminal Division; ,12-323; 
8583,None,Antitrust Division; ,12-322; 
8584,None,Criminal Division; ,12-321; 
8585,None,Criminal Division; ,12-320; 
8586,None,Antitrust Division; ,12-313; 
8587,None,Tax Division; ,12-318; 
8588,None,Criminal Division; ,12-317; 
8589,Project Safe Childhood; ,Criminal Division; ,12-316; 
8590,None,Criminal Division; ,12-312; 
8591,None,Civil Rights Division; ,12-314; 
8592,None,Tax Division; ,12-315; 
8593,None,Civil Division; ,12-311; 
8594,None,Criminal Division; ,12-310; 
8595,None,Civil Rights Division; ,12-308; 
8596,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-307; 
8597,None,Civil Division; ,12-309; 
8598,Consumer Protection; StopFraud; ,Office of the Associate Attorney General; ,12-306; 
8599,None,National Security Division (NSD); ,12-305; 
8600,None,Criminal Division; ,12-304; 
8601,Project Safe Childhood; ,Criminal Division; ,12-300; 
8602,None,Civil Rights Division; ,12-301; 
8603,None,Criminal Division; ,12-303; 
8604,None,Criminal Division; ,12-302; 
8605,None,Civil Rights Division; ,12-299; 
8606,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-298; 
8607,None,Criminal Division; ,12-296; 
8608,None,Criminal Division; ,12-295; 
8609,None,Antitrust Division; ,12-294; 
8610,StopFraud; ,Criminal Division; ,12-293; 
8611,None,Environment and Natural Resources Division; ,12-291; 
8612,None,Tax Division; ,12-290; 
8613,None,Civil Rights Division; ,12-289; 
8614,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,12-286; 
8615,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-288; 
8616,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-285; 
8617,StopFraud; ,Criminal Division; ,12-284; 
8618,None,Criminal Division; ,12-283; 
8619,None,Environment and Natural Resources Division; ,12-282; 
8620,Consumer Protection; ,Civil Division; ,12-281; 
8621,None,Criminal Division; ,12-280; 
8622,None,Criminal Division; ,12-279; 
8623,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-278; 
8624,None,Office of the Attorney General; ,12-277; 
8625,None,Environment and Natural Resources Division; ,12-276; 
8626,None,Criminal Division; ,12-274; 
8627,None,Civil Division; ,12-275; 
8628,None,Criminal Division; ,12-273; 
8629,StopFraud; ,Civil Division; ,12-272; 
8630,None,Criminal Division; ,12-270; 
8631,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-269; 
8632,None,Civil Rights Division; ,12-268; 
8633,Project Safe Childhood; ,Criminal Division; ,12-267; 
8634,None,Criminal Division; ,12-266; 
8635,None,Civil Rights Division; ,12-265; 
8636,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-263; 
8637,None,National Security Division (NSD); ,12-264; 
8638,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,12-262; 
8639,None,Civil Division; ,12-261; 
8640,None,Criminal Division; ,12-260; 
8641,None,Civil Rights Division; ,12-258; 
8642,None,Civil Rights Division; ,12-257; 
8643,None,Criminal Division; ,12-256; 
8644,Consumer Protection; ,Office of the Attorney General; ,12-255; 
8645,None,Civil Rights Division; ,12-254; 
8646,None,Criminal Division; ,12-253; 
8647,None,Antitrust Division; ,12-251; 
8648,None,Environment and Natural Resources Division; ,12-250; 
8649,None,Criminal Division; ,12-249; 
8650,Wildlife; ,Environment and Natural Resources Division; ,12-246; 
8651,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-247; 
8652,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-248; 
8653,None,Criminal Division; ,12-245; 
8654,StopFraud; ,Antitrust Division; ,12-244; 
8655,None,Criminal Division; ,12-243; 
8656,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-241; 
8657,None,Civil Division; ,12-240; 
8658,None,Tax Division; ,12-239; 
8659,None,Criminal Division; ,12-238; 
8660,Consumer Protection; ,Civil Division; ,12-237; 
8661,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-235; 
8662,None,National Security Division (NSD); ,12-234; 
8663,None,Environment and Natural Resources Division; ,12- 233; 
8664,None,National Security Division (NSD); ,12-232; 
8665,None,Office of the Attorney General; ,12-231; 
8666,None,Criminal Division; ,12-230; 
8667,None,Tax Division; ,12-229; 
8668,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-228; 
8669,None,Office of the Attorney General; ,12-227; 
8670,None,Criminal Division; ,12-226; 
8671,None,Tax Division; ,12-225; 
8672,None,National Security Division (NSD); ,12-224; 
8673,None,Tax Division; ,12-223; 
8674,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-222; 
8675,None,Environment and Natural Resources Division; ,12-220; 
8676,None,Civil Rights Division; ,12-221; 
8677,None,Antitrust Division; ,12-219; 
8678,None,Criminal Division; ,12-218; 
8679,Consumer Protection; ,Civil Division; ,12-217; 
8680,None,Criminal Division; ,12-216; 
8681,None,Criminal Division; ,12-215; 
8682,None,Tax Division; ,12-214; 
8683,None,Office of the Attorney General; ,12-213; 
8684,None,Environment and Natural Resources Division; ,12-211; 
8685,None,Criminal Division; ,12-208; 
8686,None,Tax Division; ,12-212; 
8687,None,Antitrust Division; ,12-210; 
8688,Consumer Protection; ,Civil Division; ,12-207; 
8689,None,Criminal Division; ,12-206; 
8690,None,Office of the Attorney General; ,12-205; 
8691,None,Civil Rights Division; ,12-203; 
8692,None,Civil Rights Division; ,12-201; 
8693,Consumer Protection; StopFraud; ,Office of the Attorney General; ,12-200; 
8694,Consumer Protection; ,Civil Division; ,12-199; 
8695,None,Civil Division; ,12-198; 
8696,None,Environment and Natural Resources Division; ,12-197; 
8697,None,Tax Division; ,12-196; 
8698,None,Antitrust Division; ,12-194; 
8699,None,Tax Division; ,12-193; 
8700,StopFraud; ,Civil Rights Division; ,12-191; 
8701,StopFraud; ,Antitrust Division; ,12-190; 
8702,None,Antitrust Division; ,12-189; 
8703,Consumer Protection; ,Civil Division; ,12-188; 
8704,Consumer Protection; StopFraud; ,Office of the Attorney General; ,12-186; 
8705,None,Antitrust Division; ,12-185; 
8706,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-183; 
8707,None,Civil Division; ,12-182; 
8708,None,Criminal Division; ,12-181; 
8709,None,National Security Division (NSD); ,12-180; 
8710,None,Tax Division; ,12-179; 
8711,Consumer Protection; ,Civil Division; ,12-178; 
8712,None,Tax Division; ,12-177; 
8713,Hate Crimes; ,Civil Rights Division; ,12-176; 
8714,None,Environment and Natural Resources Division; ,12- 175; 
8715,None,Criminal Division; ,12-174; 
8716,None,Civil Division; ,12-173; 
8717,None,Environment and Natural Resources Division; ,12-171; 
8718,None,Criminal Division; ,12-172; 
8719,None,Criminal Division; ,12-170; 
8720,None,Tax Division; ,12-169; 
8721,None,Criminal Division; ,12-168; 
8722,None,Civil Rights Division; ,12-167; 
8723,None,Criminal Division; ,12-166; 
8724,None,Criminal Division; ,12-165; 
8725,None,Criminal Division; ,12-163; 
8726,None,Office of the Deputy Attorney General; ,12-162; 
8727,None,Criminal Division; ,12-161; 
8728,None,Criminal Division; ,12-160; 
8729,None,Criminal Division; ,12-158; 
8730,StopFraud; ,Criminal Division; ,12-159; 
8731,Project Safe Childhood; ,Criminal Division; ,12-154; 
8732,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-155; 
8733,None,Antitrust Division; ,12-156; 
8734,None,Tax Division; ,12-153; 
8735,None,Tax Division; ,12-152; 
8736,None,Tax Division; ,12-151; 
8737,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-149; 
8738,StopFraud; ,Criminal Division; ,12-150; 
8739,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,12-148; 
8740,None,Tax Division; ,12-147; 
8741,None,Criminal Division; ,12-146; 
8742,None,Criminal Division; ,12-144; 
8743,None,Criminal Division; ,12-145; 
8744,None,Civil Rights Division; ,12-143; 
8745,None,Office of the Attorney General; ,12-142; 
8746,None,Environment and Natural Resources Division; ,12-140; 
8747,None,Antitrust Division; ,12-141; 
8748,None,Office of the Attorney General; ,12-139; 
8749,None,Civil Rights Division; ,12-137; 
8750,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-135; 
8751,None,Tax Division; ,12-136; 
8752,None,Environment and Natural Resources Division; ,12-132; 
8753,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-134; 
8754,None,Tax Division; ,12-133; 
8755,None,Criminal Division; ,12-131; 
8756,None,Antitrust Division; ,12-128; 
8757,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-130; 
8758,Consumer Protection; ,Civil Division; ,12-127; 
8759,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-126; 
8760,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-125; 
8761,None,Criminal Division; ,12-122; 
8762,None,Tax Division; ,12-123; 
8763,None,Antitrust Division; ,12-121; 
8764,StopFraud; ,Office of the Attorney General; ,12-120; 
8765,None,Criminal Division; ,12-119; 
8766,None,Criminal Division; ,12-118; 
8767,None,Criminal Division; ,12-117; 
8768,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-114; 
8769,None,Criminal Division; ,12-113; 
8770,None,Criminal Division; ,12-112; 
8771,None,Civil Rights Division; ,12-111; 
8772,Project Safe Childhood; ,Criminal Division; ,12-109; 
8773,None,Environment and Natural Resources Division; ,12-107; 
8774,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-106; 
8775,Consumer Protection; ,Civil Division; ,12-105; 
8776,None,Tax Division; ,12-104; 
8777,None,Tax Division; ,12-103; 
8778,None,Antitrust Division; ,12-102; 
8779,None,Antitrust Division; ,12-101; 
8780,None,Criminal Division; ,12-099; 
8781,None,Tax Division; ,12-098; 
8782,None,Criminal Division; ,12-096; 
8783,None,Criminal Division; ,12-096; 
8784,None,Tax Division; ,12-094; 
8785,None,Tax Division; ,12-093; 
8786,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-092; 
8787,None,Antitrust Division; ,12-085; 
8788,None,Criminal Division; ,12-090; 
8789,None,Criminal Division; ,12-089; 
8790,None,Tax Division; ,12-088; 
8791,None,Tax Division; ,12-087; 
8792,None,Tax Division; ,12-086; 
8793,Consumer Protection; ,Civil Division; ,12-084; 
8794,None,Office of the Attorney General; ,12-083; 
8795,None,Criminal Division; ,12-082; 
8796,None,Criminal Division; ,12-081; 
8797,StopFraud; ,Criminal Division; ,12-080; 
8798,Intellectual Property; ,Criminal Division; ,12-079; 
8799,None,National Security Division (NSD); ,12-078; 
8800,None,Criminal Division; ,12-077; 
8801,Project Safe Childhood; ,Criminal Division; ,12-075; 
8802,None,Criminal Division; ,12-074; 
8803,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-072; 
8804,StopFraud; ,None,00-000; 
8805,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-073; 
8806,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-071; 
8807,None,Tax Division; ,12-071; 
8808,Indian Country Law and Justice; ,Office of Public Affairs; Office on Violence Against Women; ,12-067; 
8809,None,Tax Division; ,12-068; 
8810,None,Criminal Division; ,12-066; 
8811,None,Tax Division; ,12-056; 
8812,Project Safe Childhood; ,Criminal Division; ,12-064; 
8813,None,Criminal Division; ,12-063; 
8814,None,Antitrust Division; ,12-062; 
8815,None,Environment and Natural Resources Division; ,12-059; 
8816,None,Antitrust Division; ,12-061; 
8817,None,Criminal Division; ,12-060; 
8818,None,Criminal Division; ,12-057; 
8819,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-056; 
8820,None,Civil Rights Division; Civil Rights - Criminal Section; ,12- 055; 
8821,None,Civil Rights Division; ,12-054; 
8822,None,Criminal Division; ,12-052; 
8823,None,Criminal Division; ,12-051; 
8824,None,Tax Division; ,12-049; 
8825,None,Criminal Division; ,12-050; 
8826,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-048; 
8827,Access to Justice; ,Office for Access to Justice; ,12-047; 
8828,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-046; 
8829,None,Civil Rights Division; Civil Rights - Criminal Section; ,12-045; 
8830,None,Criminal Division; ,12-043; 
8831,None,Environment and Natural Resources Division; ,12-042; 
8832,Project Safe Childhood; ,Criminal Division; ,12-041; 
8833,None,Criminal Division; ,12-039; 
8834,None,Civil Rights Division; ,12-040; 
8835,Access to Justice; ,Office for Access to Justice; ,12-037; 
8836,None,Criminal Division; ,12-038; 
8837,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-036; 
8838,None,Criminal Division; ,12-035; 
8839,StopFraud; ,Antitrust Division; ,12-034; 
8840,None,Criminal Division; ,12-033; 
8841,None,Environment and Natural Resources Division; ,12-032; 
8842,None,Civil Rights Division; Civil Rights - Criminal Section; Criminal Division; ,12-031; 
8843,StopFraud; ,Criminal Division; ,12-030; 
8844,None,Criminal Division; ,12-029; 
8845,None,Tax Division; ,12-028; 
8846,None,Tax Division; ,12-024; 
8847,None,Criminal Division; ,12-027; 
8848,None,Tax Division; ,12-025; 
8849,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,12-022; 
8850,None,Criminal Division; ,12-021; 
8851,None,Criminal Division; ,12-020; 
8852,None,Office of Public Affairs; ,12-019; 
8853,None,Office of the Attorney General; ,12-018; 
8854,None,Criminal Division; ,12-017; 
8855,Project Safe Childhood; ,Criminal Division; ,12-015; 
8856,Project Safe Childhood; ,Criminal Division; ,12-014; 
8857,None,Criminal Division; ,12-011; 
8858,None,Tax Division; ,12-012; 
8859,None,Criminal Division; ,12-010; 
8860,StopFraud; ,Criminal Division; ,12-009; 
8861,None,Criminal Division; ,12-008; 
8862,None,Criminal Division; ,12-007; 
8863,None,Civil Rights Division; ,12-006; 
8864,None,Office of the Attorney General; ,12-005; 
8865,None,Tax Division; ,12-004; 
8866,None,Criminal Division; ,12-003; 
8867,None,Civil Division; ,12-002; 
8868,None,Civil Division; ,12-001; 
8869,StopFraud; ,Antitrust Division; ,11-1719; 
8870,None,Civil Rights Division; ,11-1718; 
8871,None,Criminal Division; ,11-1716; 
8872,None,Civil Division; ,11-1717; 
8873,None,Environment and Natural Resources Division; ,11-1715; 
8874,None,Criminal Division; ,11-1714; 
8875,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1713; 
8876,None,Civil Rights Division; ,11-1712; 
8877,None,Tax Division; ,11-1711; 
8878,None,Office of the Attorney General; ,11-1710; 
8879,None,Criminal Division; ,11-1709; 
8880,None,Criminal Division; ,11-1708; 
8881,None,Criminal Division; ,11-1707; 
8882,StopFraud; ,Antitrust Division; ,11-1706; 
8883,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1705; 
8884,None,Criminal Division; ,11-1703; 
8885,None,Criminal Division; ,11-1704; 
8886,StopFraud; ,Criminal Division; ,11-1702; 
8887,None,Criminal Division; ,11-1701; 
8888,Consumer Protection; ,Civil Division; ,11-1700; 
8889,None,Antitrust Division; ,11-1698; 
8890,None,Criminal Division; ,11-1699; 
8891,None,Criminal Division; ,11-1697; 
8892,Intellectual Property; ,Criminal Division; ,11-1696; 
8893,None,Tax Division; ,11-1695; 
8894,None,Office of the Attorney General; ,11-1694; 
8895,None,Office of the Attorney General; ,11-1693; 
8896,None,Criminal Division; ,11-1692; 
8897,None,Tax Division; ,11-1691; 
8898,None,Civil Rights Division; ,11-1688; 
8899,None,Antitrust Division; ,11-1689; 
8900,None,Civil Division; ,11-1687; 
8901,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1686; 
8902,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1685; 
8903,None,Civil Rights Division; ,11-1684; 
8904,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1683; 
8905,None,Criminal Division; ,11-1679; 
8906,Hate Crimes; ,Civil Rights Division; ,11-1682; 
8907,StopFraud; ,Criminal Division; ,11-1681; 
8908,Intellectual Property; ,Criminal Division; ,11-1680; 
8909,None,Criminal Division; ,11-1678; 
8910,None,Criminal Division; ,11-1677; 
8911,None,Tax Division; ,11-1676; 
8912,None,Criminal Division; ,11-1675; 
8913,None,Criminal Division; ,11-1674; 
8914,None,Antitrust Division; ,11-1673; 
8915,None,Tax Division; ,11-1672; 
8916,None,Environment and Natural Resources Division; ,11-1671; 
8917,Consumer Protection; ,Civil Division; ,11-1670; 
8918,Consumer Protection; ,Civil Division; ,11-1669; 
8919,None,Civil Rights Division; ,11-1668; 
8920,None,Antitrust Division; ,11-1667; 
8921,Consumer Protection; ,Civil Division; ,11-1665; 
8922,None,Office of the Attorney General; ,11-1666; 
8923,None,Tax Division; ,11-1662; 
8924,None,Criminal Division; ,11-1658; 
8925,None,Antitrust Division; ,11-1656; 
8926,None,Criminal Division; ,11-1659; 
8927,None,Civil Rights Division; ,11-1660; 
8928,None,Civil Rights Division; ,11-1661; 
8929,None,Criminal Division; ,11-1657; 
8930,None,Antitrust Division; ,11-1655; 
8931,None,Criminal Division; ,11-1653; 
8932,None,Environment and Natural Resources Division; ,11-1647; 
8933,None,Criminal Division; ,11-1651; 
8934,None,Criminal Division; ,11-1646; 
8935,None,Criminal Division; ,11-1650; 
8936,None,Tax Division; ,11-1649; 
8937,Consumer Protection; ,Civil Division; ,11-1648; 
8938,None,Civil Rights Division; ,11-1645; 
8939,None,Tax Division; ,11-1644; 
8940,Project Safe Childhood; ,Criminal Division; ,11-1642; 
8941,None,Criminal Division; ,11-1641; 
8942,None,Criminal Division; ,11-1639; 
8943,None,Office of the Attorney General; ,11-1640; 
8944,None,Environment and Natural Resources Division; ,11-1637; 
8945,Intellectual Property; ,Criminal Division; ,11-1638; 
8946,None,Criminal Division; ,11-1636; 
8947,Consumer Protection; ,Civil Division; ,11-1635; 
8948,None,Criminal Division; ,11-1634; 
8949,None,Civil Rights Division; ,11-1633; 
8950,None,Criminal Division; ,11-1632; 
8951,None,Civil Rights Division; ,11-1631; 
8952,None,Antitrust Division; ,11-1630; 
8953,None,Environment and Natural Resources Division; ,11-1629; 
8954,None,Criminal Division; ,11-1626; 
8955,None,Criminal Division; ,11-1625; 
8956,None,Criminal Division; ,11-1624; 
8957,None,Criminal Division; ,11-1622; 
8958,None,Civil Division; ,11-1623; 
8959,None,Tax Division; ,11-1621; 
8960,None,Antitrust Division; ,11-1620; 
8961,None,Environment and Natural Resources Division; ,11-1618; 
8962,StopFraud; ,Criminal Division; ,11-1617; 
8963,None,Criminal Division; ,11-1619; 
8964,None,Civil Division; ,11-1614; 
8965,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1613; 
8966,None,Antitrust Division; ,11-1612; 
8967,None,Tax Division; ,11-1611; 
8968,None,Criminal Division; ,11-1610; 
8969,None,Criminal Division; ,11-1606; 
8970,StopFraud; ,Criminal Division; ,11-1609; 
8971,StopFraud; ,Criminal Division; ,11-1608; 
8972,None,Criminal Division; ,11-1605; 
8973,None,Office of the Attorney General; ,11-1609; 
8974,None,Criminal Division; ,11-1604; 
8975,Consumer Protection; ,Civil Division; ,11-1603; 
8976,None,Antitrust Division; ,11-1602; 
8977,None,Criminal Division; ,11-1601; 
8978,None,National Security Division (NSD); ,11-1600; 
8979,None,Criminal Division; ,11-1598; 
8980,StopFraud; ,Antitrust Division; ,11-1597; 
8981,Consumer Protection; ,Civil Division; ,11-1595; 
8982,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1596; 
8983,None,Tax Division; ,11-1594; 
8984,None,Tax Division; ,11-1593; 
8985,None,Office of the Attorney General; ,11-1591; 
8986,None,Tax Division; ,11-1592; 
8987,None,National Security Division (NSD); ,11-1590; 
8988,None,Tax Division; ,11-1589; 
8989,None,Criminal Division; ,11-1587; 
8990,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1588; 
8991,None,Civil Rights Division; ,11-1586; 
8992,None,Criminal Division; ,11-1585; 
8993,None,Tax Division; ,11-1583; 
8994,None,Criminal Division; ,11-1582; 
8995,None,Criminal Division; ,11-1581; 
8996,None,Criminal Division; ,11-1580; 
8997,None,Civil Division; ,11-1579; 
8998,None,Civil Rights Division; ,11-1578; 
8999,None,Office of the Attorney General; ,11-1577; 
9000,None,Environment and Natural Resources Division; ,11-1576; 
9001,Intellectual Property; ,Criminal Division; ,11-1575; 
9002,None,Criminal Division; ,11-1574; 
9003,None,Criminal Division; ,11-1573; 
9004,None,Civil Rights Division; ,11-1572; 
9005,None,Criminal Division; ,11-1571; 
9006,StopFraud; ,Antitrust Division; ,11-1570; 
9007,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,11-1569; 
9008,None,Antitrust Division; ,11-1567; 
9009,None,Criminal Division; ,11-1568; 
9010,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1565; 
9011,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1566; 
9012,None,Criminal Division; ,11-1564; 
9013,None,Criminal Division; ,11-1563; 
9014,None,Criminal Division; ,11-1561; 
9015,None,Tax Division; ,11-1562; 
9016,None,Civil Rights Division; ,11-1560; 
9017,None,Criminal Division; ,11-1559; 
9018,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1558; 
9019,Consumer Protection; ,Civil Division; ,11-1557; 
9020,None,Tax Division; ,11-1556; 
9021,None,Tax Division; ,11-1555; 
9022,None,Antitrust Division; ,11-1554; 
9023,None,Criminal Division; ,11-1553; 
9024,None,Antitrust Division; ,11-1552; 
9025,None,Criminal Division; ,11-1549; 
9026,None,Criminal Division; ,11-1547; 
9027,None,Civil Rights Division; ,11-1548; 
9028,None,Criminal Division; ,11-1545; 
9029,None,Antitrust Division; ,11-1546; 
9030,None,Criminal Division; ,11-1544; 
9031,None,Office of the Attorney General; ,11-1543; 
9032,None,Environment and Natural Resources Division; ,11-1542; 
9033,None,Office of the Attorney General; ,11-1541; 
9034,None,Criminal Division; ,11-1540; 
9035,Intellectual Property; ,Office of the Attorney General; ,11-1540; 
9036,Project Safe Childhood; ,Criminal Division; ,11-1536; 
9037,None,Criminal Division; ,11-1534; 
9038,None,Civil Rights Division; ,11-1532; 
9039,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1531; 
9040,None,Criminal Division; ,11-1530; 
9041,Consumer Protection; ,Civil Division; ,11-1529; 
9042,None,Office of the Attorney General; ,11-1526; 
9043,None,Civil Rights Division; ,11-1528; 
9044,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,11-1527; 
9045,Project Safe Childhood; ,Criminal Division; ,11-1525; 
9046,None,Civil Division; ,11-1524; 
9047,None,Civil Division; ,11-1523; 
9048,Consumer Protection; ,Civil Division; ,11-1522; 
9049,None,Office of the Attorney General; ,11-1521; 
9050,None,Civil Rights Division; ,11-1520; 
9051,None,Criminal Division; ,11-1518; 
9052,None,Office of Public Affairs; ,11-1519; 
9053,None,Criminal Division; ,11-1513; 
9054,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1512; 
9055,None,Tax Division; ,11-1511; 
9056,None,Tax Division; ,11-1510; 
9057,None,Criminal Division; ,11-1509; 
9058,None,Criminal Division; ,11-1508; 
9059,StopFraud; ,Criminal Division; ,11-1506; 
9060,None,Civil Rights Division; ,11-1507; 
9061,None,Antitrust Division; ,11-1505; 
9062,None,Tax Division; ,11-1504; 
9063,Project Safe Childhood; ,Criminal Division; ,11-1499; 
9064,None,Civil Rights Division; ,11-1503; 
9065,None,Criminal Division; ,11-1500; 
9066,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1498; 
9067,None,Criminal Division; ,11-1501; 
9068,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1496; 
9069,None,Tax Division; ,11-1494; 
9070,None,Criminal Division; ,11-1493; 
9071,None,Criminal Division; ,11-1491; 
9072,Intellectual Property; ,Criminal Division; ,11-1492; 
9073,None,Criminal Division; ,11-1490; 
